Likes,Dislikes,Views,Comments,Title,Category_id,Date,Tags
73,3,2072,16,"Màn ""cướp hit"" của Diva Thanh Lam trong Cuộc hẹn cuối tuần | VTV24",Entertainment,2021-08-29T01:47:27Z,"['VTV Digital', 'tin tức trong ngày', 'chuyển động 24h', 'Màn cướp hit', 'của', 'Diva', 'Thanh', 'Lam', 'trong', 'Cuộc', 'hẹn', 'cuối', 'tuần', 'cướp hit', 'Diva Thanh Lam', 'Cuộc hẹn cuối tuần', 'Thanh Lam cuộc hẹn cuối tuần', 'cuộc hẹn cuối tuần thanh lam']"
73,2,2096,5,Âm nhạc - Liều thuốc chữa lành tâm hồn trong đại dịch | CUỘC HẸN CUỐI TUẦN,Entertainment,2021-08-29T01:16:56Z,"['vtv24', 'trung tâm tin tức vtv24', 'VTV Digital', 'chuyển động 24h', 'cuộc hện cuối tuần', 'CHCT', 'Âm nhạc liều thuốc chữa lành tâm hồn trong đại dịch', 'liều thuốc chữa lành tâm hồn', 'đại dịch', 'âm nhạc chữa lành tâm hồn']"
430,6,7928,66,"Rapper HoangBrown - ""Anh Da Nâu"" #MuzikDapDich | CUỘC HẸN CUỐI TUẦN",Entertainment,2021-08-28T15:12:52Z,"['tin tức', 'vtv24', 'trung tâm tin tức vtv24', 'VTV Digital', 'tin tức vtv', 'thời sự vtv', 'thời sự vtv24', 'tin tức trong ngày', 'chuyển động 24h', 'Rapper HoangBrown', 'Anh Da Nâu', 'MuzikDapDich', 'Cuộc hẹn cuối tuần', 'HoangBrown', 'anh da nâu rap cuộc hẹn cuối tuần', 'việt hoàng rap cuộc hẹn cuối tuần']"
98,8,6696,0,Combo thực phẩm giúp tối ưu hoá chương trình “đi chợ hộ” | VTV24,News & Politics,2021-08-28T14:30:07Z,"['tin tức', 'vtv24', 'trung tâm tin tức vtv24', 'VTV Digital', 'tin tức vtv', 'thời sự vtv', 'thời sự vtv24', 'tin tức trong ngày', 'chuyển động 24h']"
107,5,7052,0,Tăng cường lực lượng quân đội cùng TP Hồ Chí Minh chống dịch | VTV24,News & Politics,2021-08-28T14:00:12Z,"['tin tức', 'vtv24', 'trung tâm tin tức vtv24', 'VTV Digital', 'tin tức vtv', 'thời sự vtv', 'thời sự vtv24', 'tin tức trong ngày', 'chuyển động 24h', 'Tăng cường lực lượng quân đội', 'cùng TP Hồ Chí Minh chống dịch', 'TP Hồ Chí Minh chống dịch', 'chống dịch cùng Tp hồ Chí Minh']"
175,20,23411,0,"Thủ tướng trực tiếp kiểm tra công tác chống dịch tại Đồng Nai, yêu cầu quan tâm tới giáo dục",News & Politics,2021-08-28T13:45:03Z,"['tin tức', 'vtv24', 'trung tâm tin tức vtv24', 'VTV Digital', 'tin tức vtv', 'thời sự vtv', 'thời sự vtv24', 'tin tức trong ngày', 'chuyển động 24h', 'Thủ tướng', 'kiểm tra công tác chống dịch', 'Đồng Nai', 'thủ tướng phạm minh chính', 'giáo dục']"
3082,96,209140,0,"Chủ tịch nước gửi thư chia buồn, động viên gia đình anh Vũ Quốc Cường | VTV24",News & Politics,2021-08-28T13:21:44Z,"['tin tức', 'vtv24', 'trung tâm tin tức vtv24', 'VTV Digital', 'tin tức vtv', 'thời sự vtv', 'thời sự vtv24', 'tin tức trong ngày', 'chuyển động 24h', 'Chủ tịch nước gửi thư chia buồn', 'động viên gia đình anh Vũ Quốc Cường', 'vũ quốc cường', 'chủ tịch nước gửi thư động viện anh Vũ quốc cường', 'chủ tịch nước nguyễn Xuân PHúc']"
4153,257,576596,0,Sức khỏe của cả thế giới hiện nay nằm trong tay người phụ nữ gốc Việt này | VTV24,News & Politics,2021-08-28T12:39:29Z,"['tin tức', 'vtv24', 'trung tâm tin tức vtv24', 'VTV Digital', 'tin tức vtv', 'thời sự vtv', 'thời sự vtv24', 'tin tức trong ngày', 'chuyển động 24h', 'Bài viết trên tờ Time', 'ca ngợi người phụ nữ gốc Việt điều phối COVAX', 'người phụ nữ gốc Việt điều phối COVAX', 'điều phối COVAX', 'Sức khỏe của cả thế giới', 'nắm trong tay người phụ nữ gốc Việt', 'người phụ nữ gốc Việt']"
256,14,34100,0,Hà Nội: Thêm nhiều ca dương tính tại Thanh Xuân Trung và Giáp Bát | VTV24,News & Politics,2021-08-28T12:36:45Z,"['tin tức', 'vtv24', 'trung tâm tin tức vtv24', 'VTV Digital', 'tin tức vtv', 'thời sự vtv', 'thời sự vtv24', 'tin tức trong ngày', 'chuyển động 24h', 'Hà Nội', 'Thanh Xuân Trung', 'Giáp Bát', 'Thêm nhiều ca dương tính', 'dịch COVID-19', 'COVID-19']"
208,8,19550,0,Hơn 100.000 tỷ đồng tại các tài khoản chứng khoán vẫn đang trực chờ tìm kiếm cơ hội | VTV24,News & Politics,2021-08-28T12:00:05Z,"['tin tức', 'vtv24', 'trung tâm tin tức vtv24', 'VTV Digital', 'tin tức vtv', 'thời sự vtv', 'thời sự vtv24', 'tin tức trong ngày', 'chuyển động 24h']"
130,12,30217,0,Khẩn trương xét nghiệm PCR cho hơn 2.000 người tại quận Ba Đình | VTV24,News & Politics,2021-08-28T11:54:38Z,"['tin tức', 'vtv24', 'trung tâm tin tức vtv24', 'VTV Digital', 'tin tức vtv', 'thời sự vtv', 'thời sự vtv24', 'tin tức trong ngày', 'chuyển động 24h', 'Khẩn trương xét nghiệm PCR', 'xét nghiệm PCR cho hơn 2.000 người tại quận Ba Đình', 'xét nghiệm PCR', 'xét nghiệm tại quận Ba Đình', 'xét nghiệm ba đình']"
305,5,19873,0,Bài tập thở cho các F0 điều trị tại nhà | VTV24,News & Politics,2021-08-28T11:53:00Z,"['tin tức', 'vtv24', 'trung tâm tin tức vtv24', 'VTV Digital', 'tin tức vtv', 'thời sự vtv', 'thời sự vtv24', 'tin tức trong ngày', 'chuyển động 24h', 'Bài tập thở cho các F0 điều trị tại nhà', 'F0 điều trị tại nhà', 'F0 tập thở', 'tập thở', 'F0', 'bài tập thở cho F0']"
141,10,18610,0,Covid-19 “bào mòn” lợi nhuận doanh nghiệp niêm yết  | VTV24,News & Politics,2021-08-28T10:00:07Z,"['tin tức', 'vtv24', 'trung tâm tin tức vtv24', 'VTV Digital', 'tin tức vtv', 'thời sự vtv', 'thời sự vtv24', 'tin tức trong ngày', 'chuyển động 24h']"
69,3,8103,0,Nỗ lực tìm kiếm thị trường cho trái thanh long | VTV24,News & Politics,2021-08-28T08:00:01Z,"['tin tức', 'vtv24', 'trung tâm tin tức vtv24', 'VTV Digital', 'tin tức vtv', 'thời sự vtv', 'thời sự vtv24', 'tin tức trong ngày', 'chuyển động 24h']"
341,14,27991,0,Khám phá nơi ở của ĐT Việt Nam tại Saudi Arabia | VTV24,News & Politics,2021-08-28T07:40:25Z,"['tin tức', 'vtv24', 'trung tâm tin tức vtv24', 'VTV Digital', 'tin tức vtv', 'thời sự vtv', 'thời sự vtv24', 'tin tức trong ngày', 'chuyển động 24h', 'thể thao', 'bóng đá', 'đội tuyển Việt Nam', 'Khám phá nơi ở của ĐT Việt Nam tại Saudi Arabia', 'Saudi Arabia', 'ả rập xê út', 'đội tuyển việt nam ở đâu', 'điều kiện ăn ở của ĐT Việt Nam']"
1835,84,203574,0,Hà Nội: Khởi tố đối tượng tấn công lực lượng tại chốt kiểm dịch| VTV24,News & Politics,2021-08-28T06:22:03Z,"['tin tức', 'vtv24', 'trung tâm tin tức vtv24', 'VTV Digital', 'tin tức vtv', 'thời sự vtv', 'thời sự vtv24', 'tin tức trong ngày', 'chuyển động 24h']"
421,9,53871,0,Cuộc sống mới của những gia đình Afghanistan sau khi di tản | VTV24,News & Politics,2021-08-28T06:22:00Z,"['tin tức', 'vtv24', 'trung tâm tin tức vtv24', 'VTV Digital', 'tin tức vtv', 'thời sự vtv', 'thời sự vtv24', 'tin tức trong ngày', 'chuyển động 24h']"
97,7,8014,0,Xe cứu thương không còi hú đưa người dân về cuộc sống bình thường | VTV24,News & Politics,2021-08-28T06:21:57Z,"['tin tức', 'vtv24', 'trung tâm tin tức vtv24', 'VTV Digital', 'tin tức vtv', 'thời sự vtv', 'thời sự vtv24', 'tin tức trong ngày', 'chuyển động 24h']"
323,26,47781,0,Talk cuối tuần: Trò chuyện cùng lực lượng quân y làm nhiệm vụ tại TP. Hồ Chí Minh | VTV24,News & Politics,2021-08-28T06:21:55Z,"['tin tức', 'vtv24', 'trung tâm tin tức vtv24', 'VTV Digital', 'tin tức vtv', 'thời sự vtv', 'thời sự vtv24', 'tin tức trong ngày', 'chuyển động 24h']"
213,6,15851,0,Thách thức học trực tuyến với học sinh lớp 1 | VTV24,News & Politics,2021-08-28T06:21:52Z,"['tin tức', 'vtv24', 'trung tâm tin tức vtv24', 'VTV Digital', 'tin tức vtv', 'thời sự vtv', 'thời sự vtv24', 'tin tức trong ngày', 'chuyển động 24h']"
142,4,14199,0,Thuê robot để tháo gỡ tình trạng thiếu lao động tại các nhà máy nhỏ  | VTV24,News & Politics,2021-08-28T05:20:43Z,"['tin tức', 'vtv24', 'trung tâm tin tức vtv24', 'VTV Digital', 'tin tức vtv', 'thời sự vtv', 'thời sự vtv24', 'tin tức trong ngày', 'chuyển động 24h']"
89,7,16925,0,Hà Nội sẽ có bệnh viện điều trị COVID-19 cho bệnh nhân nặng | VTV24,News & Politics,2021-08-27T15:00:16Z,"['tin tức', 'vtv24', 'trung tâm tin tức vtv24', 'VTV Digital', 'tin tức vtv', 'thời sự vtv', 'thời sự vtv24', 'tin tức trong ngày', 'chuyển động 24h', 'bệnh viện điều trị bệnh nhân nặng', 'covid-19', 'hà nội', 'bệnh viện dã chiến']"
166,5,14472,8,KHI NHÀ CÓ F: PHẢI LÀM GÌ KHI NHÀ BỖNG CÓ F0? | VTV24,News & Politics,2021-08-27T14:25:04Z,"['tin tức', 'vtv24', 'trung tâm tin tức vtv24', 'VTV Digital', 'tin tức vtv', 'thời sự vtv', 'thời sự vtv24', 'tin tức trong ngày', 'chuyển động 24h', 'KHI NHÀ CÓ F', 'PHẢI LÀM GÌ KHI NHÀ BỖNG CÓ F0', 'NHÀ BỖNG CÓ F0', 'Vùng xanh hy vọng', 'bạn khỏe mạnh Việt Nam khỏe mạnh']"
44,3,14125,0,TP Hồ Chí Minh triển khai xét nghiệm và tiêm vắc xin COVID-19 tại nhà | VTV24,News & Politics,2021-08-27T14:00:32Z,"['tin tức', 'vtv24', 'trung tâm tin tức vtv24', 'VTV Digital', 'tin tức vtv', 'thời sự vtv', 'thời sự vtv24', 'tin tức trong ngày', 'chuyển động 24h', 'tp hồ chí minh', 'xét nghiệm covid-19', 'tiêm vắc xin', 'xét nghiệm tại nhà', 'xét nghiệm tại nhà covid']"
